Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
232,430,17.825,4582.34598064423
233,431,20.634,4600.17098140717
234,432,15.478,4620.80498218536
235,433,29.696,4636.28298187256
236,434,22.914,4665.97898101807
237,435,15.283,4688.89298057556
238,436,12.267,4704.17598056793
239,437,20.169,4716.4429807663
240,438,15.462,4736.61198139191
241,439,17.642,4752.0739812851
242,440,27.086,4769.71598148346
243,441,19.261,4796.80198192596
244,442,20.927,4816.06298160553
245,443,27.758,4836.98998165131
246,444,19.425,4864.74798107147
247,445,13.517,4884.17298030853
248,446,18.21,4897.6899805069
249,447,31.617,4915.89997959137
250,448,17.009,4947.5169801712
251,449,15.65,4964.5259809494
252,450,17.997,4980.17598056793
253,451,18.118,4998.17298030853
254,452,20.148,5016.29098033905
255,453,15.675,5036.43898105621
256,454,29.804,5052.11398124695
257,455,18.782,5081.91798210144
258,456,15.384,5100.69998168945
259,457,15.86,5116.08398151398
260,458,24.812,5131.94398117065
261,459,15.696,5156.75598144531
262,460,17.228,5172.45198154449
263,461,14.373,5189.67998218536
264,462,24.251,5204.05298233032
265,463,15.569,5228.30398178101
266,464,20.409,5243.87298202515
267,465,15.52,5264.28198242188
268,466,21.522,5279.80198287964
269,467,14.884,5301.32398223877
270,468,16.517,5316.20798206329
271,469,15.539,5332.72498226166
272,470,20.407,5348.26398181915
273,471,15.217,5368.67098140717
274,472,17.609,5383.88798141479
275,473,14.592,5401.49698066711
276,474,36.726,5416.08898067474
277,475,20.976,5452.81498241425
278,476,14.767,5473.7909822464
279,477,15.79,5488.55798244476
280,478,11.74,5504.34798240662
281,479,16.041,5516.08798217773
282,480,20.339,5532.12898254395
283,481,15.577,5552.46798324585
284,482,17.954,5568.04498291016
285,483,14.028,5585.99898338318
286,484,16.453,5600.02698326111
287,485,28.274,5616.4799823761
288,486,19.233,5644.75398254395
289,487,17.67,5663.98698234558
290,488,18.233,5681.65698242188
291,489,16.363,5699.88998222351
292,490,15.679,5716.25298309326
293,491,16.263,5731.93198299408
294,492,15.667,5748.19498348236
295,493,28.93,5763.86198329926
296,494,28.671,5792.79198360443
297,495,18.527,5821.46298313141
298,496,16.599,5839.98998355865
299,497,16.263,5856.58898448944
